price,size,tp_buy_side,tp_sell_side,status,ticket
1.0591,0.02,1.05915,1.0590499999999998,pending_buy,419478503.0
1.05915,0.02,1.0592,1.0591,pending_buy,419478504.0
1.0592,0.02,1.05925,1.0591499999999998,pending_buy,419478506.0
1.05925,0.02,1.0593,1.0592,pending_buy,419478508.0
1.0593,0.02,1.05935,1.0592499999999998,pending_buy,419478510.0
1.05935,0.02,1.0594,1.0593,pending_buy,419478511.0
1.0594,0.02,1.05945,1.0593499999999998,pending_buy,419478512.0
1.05945,0.02,1.0595,1.0594,pending_buy,419478514.0
1.0595,0.02,1.05955,1.0594499999999998,pending_buy,419478516.0
1.05955,0.02,1.0596,1.0595,pending_buy,419478708.0
1.0596,0.02,1.05965,1.0595499999999998,pending_buy,419478813.0
1.05965,0.02,1.0597,1.0596,opened_sell,419478518.0
1.0597,0.02,1.05975,1.0596499999999998,opened_sell,419478519.0
1.05975,0.02,1.0598,1.0597,opened_sell,419478522.0
1.0598,0.02,1.05985,1.0597499999999995,opened_sell,419478524.0
1.05985,0.02,1.0599,1.0598,pending_sell,419482059.0
1.0598999999999998,0.02,1.05995,1.0598499999999995,pending_sell,419478529.0
1.05995,0.02,1.06,1.0598999999999998,pending_sell,419478530.0
1.0599999999999998,0.02,1.06005,1.0599499999999995,pending_sell,419478531.0
1.06005,0.02,1.0601,1.0599999999999998,pending_sell,419478532.0
1.0601,0.02,1.06015,1.06005,pending_sell,419478535.0
1.06015,0.02,1.0602,1.0600999999999998,pending_sell,419478536.0
1.0602,0.02,1.06025,1.06015,pending_sell,419478539.0
1.06025,0.02,1.0603,1.0601999999999998,pending_sell,419478540.0
1.0603,0.02,1.06035,1.06025,pending_sell,419478543.0
1.06035,0.02,1.0604,1.0602999999999998,pending_sell,419478546.0
1.0604,0.02,1.06045,1.06035,pending_sell,419478548.0
1.06045,0.02,1.0605,1.0603999999999998,pending_sell,419478550.0
1.0605,0.02,1.06055,1.06045,pending_sell,419478553.0
